feature,weight
熔断机制,100
指数熔断,92
暂停交易,75
熔断阈值,52
交易暂停,34
涨跌停板,34
市场波动,31
恢复交易,25
暂停熔断,24
人民币贬值,21
减持股份,20
市场恐慌,20
熔断制度,19
A股熔断,18
新股发行,17
股东减持,17
稳定市场,17
机制实施,17
注册制,17
相关规定,16
记者表示,16
市场大跌,16
管理人,15
实施指数,15
恐慌情绪,15
经济报道,14
基金管理,14
报道记者,14
告诉记者,13
资产配置,13
冷静期,13
公募基金,13
监管机构,13
跌幅扩大,13
指数触发,13
加剧市场,13
提前收市,13
暂停实施,13
价格波动,12
导致市场,12
基金销售,12
市场熔断,12
私募基金,12
数据显示,12
减持禁令,12
引发市场,12
采访时,11
做空,11
下单撤单,11
保护投资者,10
市场稳定,10
人士认为,10
机制推出,10
异常波动,9
相关机制,9
股东集中,9
减持潮,9
市场暴跌,9
认为市场,9
机制触发,9
提前收盘,9
深交易所,9
跌幅达,9
持有股票,9
竞价交易,9
人士表示,9
停止交易,9
指数跌,9
停制度,9
市值蒸发,9
股市异常,8
机制改革,8
创新业务,8
记者采访,8
地产新,8
新媒体,8
销售机构,8
成熟市场,8
指数暴跌,8
发布指数,8
反馈意见,8
熔断规则,7
流通市值,7
阈值暂停,7
稳定股市,7
价格发现,7
大幅波动,7
减持规定,7
分析人士,7
董监高减持,7
相关人士,7
一定程度,7
认为指数,7
熔断暂停,7
股市波动,7
认为中国,7
私募机构,7
熔断线,7
机制正式,7
市场出现,7
